,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
119,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B12,6,4.5,15,3.0,1.0,0.5,3.5,0.0,0.5,5.0,4,300,1,9.239688305,
120,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C1,7,4.5,35,3.0,0.2,2.0,1.8,0.0,0.5,0.0,1,300,1,22.71440956,0.0
121,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C2,7,4.5,35,3.0,0.2,2.0,1.8,0.0,0.5,0.0,2,300,1,23.854128,
122,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C3,7,4.5,35,3.0,0.2,2.0,1.8,0.0,0.5,0.0,3,300,1,24.65212227,
123,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C4,7,4.5,35,3.0,0.2,2.0,1.8,0.0,0.5,0.0,4,300,1,25.95607984,
124,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C5,8,4.5,15,12.0,0.2,0.5,3.5,0.5,0.25,0.0,1,300,1,11.47570085,0.0
125,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C6,8,4.5,15,12.0,0.2,0.5,3.5,0.5,0.25,0.0,2,300,1,11.12184611,
126,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C7,8,4.5,15,12.0,0.2,0.5,3.5,0.5,0.25,0.0,3,300,1,10.91461447,
127,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C8,8,4.5,15,12.0,0.2,0.5,3.5,0.5,0.25,0.0,4,300,1,10.3862799,
128,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C9,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,1,300,1,15.6570594,1.0
129,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C10,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,2,300,1,14.01205909,
130,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C11,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,3,300,1,14.23466016,
131,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,C12,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,4,300,1,14.48245757,
